Date,Vietnam(VND)
29/12/1989,1800932
31/01/1990,1867170
28/02/1990,1853648
30/03/1990,1622520
30/04/1990,1651645
31/05/1990,1646878
29/06/1990,1571728
31/07/1990,1660938
31/08/1990,1767464
28/09/1990,1841724
31/10/1990,2408684
30/11/1990,2478753
31/12/1990,2543477
31/01/1991,2486522
28/02/1991,2662609
29/03/1991,2652361
30/04/1991,2746717
31/05/1991,2916526
28/06/1991,3050151
31/07/1991,3199789
30/08/1991,3144969
30/09/1991,3739925
31/10/1991,3929005
29/11/1991,4681072
31/12/1991,4586186
31/01/1992,4169041
28/02/1992,3945745
31/03/1992,3793965
30/04/1992,3813917
29/05/1992,3765645
30/06/1992,3855172
31/07/1992,3998228
31/08/1992,3695804
30/09/1992,3685589
30/10/1992,3734205
30/11/1992,3587430
31/12/1992,3611720
29/01/1993,3586617
26/02/1993,3522925
31/03/1993,3509393
30/04/1993,3752161
31/05/1993,3985905
30/06/1993,3986030
30/07/1993,4384189
31/08/1993,4012317
30/09/1993,3868901
29/10/1993,3975044
30/11/1993,4007218
31/12/1993,4226901
31/01/1994,4109174
28/02/1994,4139182
31/03/1994,4253041
29/04/1994,4099915
31/05/1994,4239984
30/06/1994,4237276
29/07/1994,4187887
31/08/1994,4288264
30/09/1994,4292388
31/10/1994,4185223
30/11/1994,4202717
30/12/1994,4243701
31/01/1995,4141305
28/02/1995,4172605
31/03/1995,4395106
28/04/1995,4369885
31/05/1995,4358805
30/06/1995,4270714
31/07/1995,4234650
31/08/1995,4204096
29/09/1995,4232637
31/10/1995,4218097
30/11/1995,4357054
29/12/1995,4261811
31/01/1996,4416734
29/02/1996,4439554
29/03/1996,4365016
30/04/1996,4336371
31/05/1996,4300539
28/06/1996,4207350
31/07/1996,4240825
30/08/1996,4275566
30/09/1996,4180560
31/10/1996,4136002
29/11/1996,4119384
31/12/1996,4068831
31/01/1997,3863552
28/02/1997,4007156
31/03/1997,4172632
30/04/1997,3964787
30/05/1997,4029693
30/06/1997,3903361
31/07/1997,3812582
29/08/1997,3805619
30/09/1997,3891712
31/10/1997,3800639
28/11/1997,3646635
31/12/1997,3567036
30/01/1998,3746759
27/02/1998,3858169
31/03/1998,3906566
30/04/1998,4034285
29/05/1998,3811808
30/06/1998,3847600
31/07/1998,3753198
31/08/1998,3802312
30/09/1998,4085687
30/10/1998,4064598
30/11/1998,4091914
31/12/1998,3998403
29/01/1999,3961351
26/02/1999,3987696
31/03/1999,3884913
30/04/1999,3986174
31/05/1999,3736896
30/06/1999,3636383
30/07/1999,3565109
31/08/1999,3557517
30/09/1999,4184206
29/10/1999,4190239
30/11/1999,4083560
31/12/1999,4071772
31/01/2000,3980929
29/02/2000,4127837
31/03/2000,3891382
28/04/2000,3869401
31/05/2000,3834369
30/06/2000,4058015
31/07/2000,3899961
31/08/2000,3911240
29/09/2000,3889660
31/10/2000,3802717
30/11/2000,3901410
29/12/2000,3983367
31/01/2001,3847153
28/02/2001,3884218
30/03/2001,3747988
30/04/2001,3833042
31/05/2001,3921818
29/06/2001,4017190
31/07/2001,3973741
31/08/2001,4093362
28/09/2001,4397377
31/10/2001,4190170
30/11/2001,4150959
31/12/2001,4170450
31/01/2002,4268655
28/02/2002,4494604
29/03/2002,4578265
30/04/2002,4690957
31/05/2002,4980485
28/06/2002,4864291
31/07/2002,4667237
30/08/2002,4795221
30/09/2002,4966852
31/10/2002,4868058
29/11/2002,4908103
31/12/2002,5347227
31/01/2003,5670893
28/02/2003,5360979
31/03/2003,5174602
30/04/2003,5207502
30/05/2003,5592121
30/06/2003,5361962
31/07/2003,5503592
29/08/2003,5829310
30/09/2003,6034952
31/10/2003,6041723
28/11/2003,6224615
31/12/2003,6510983
30/01/2004,6274076
27/02/2004,6236219
31/03/2004,6660987
30/04/2004,6106249
31/05/2004,6191328
30/06/2004,6222567
30/07/2004,6163766
31/08/2004,6418260
30/09/2004,6548564
29/10/2004,6700282
30/11/2004,7151023
31/12/2004,6870717
31/01/2005,6664481
28/02/2005,6881416
31/03/2005,6762623
29/04/2005,6896259
31/05/2005,6571104
30/06/2005,6928470
29/07/2005,6811662
31/08/2005,6878277
30/09/2005,7521126
31/10/2005,7483042
30/11/2005,7884799
30/12/2005,8163882
31/01/2006,9053363
28/02/2006,8845960
31/03/2006,9268350
28/04/2006,10266970
31/05/2006,10420248
30/06/2006,9813546
31/07/2006,10123795
31/08/2006,9984729
29/09/2006,9620659
31/10/2006,9705281
30/11/2006,10392468
29/12/2006,10147392
31/01/2007,10434020
28/02/2007,10623214
30/03/2007,10601235
30/04/2007,10863142
31/05/2007,10608212
29/06/2007,10495818
31/07/2007,10741170
31/08/2007,10913280
28/09/2007,11951898
31/10/2007,12695950
30/11/2007,12573216
31/12/2007,13353757
31/01/2008,14744764
29/02/2008,15476481
31/03/2008,15038685
30/04/2008,14042262
30/05/2008,14389895
30/06/2008,15667271
31/07/2008,15390270
29/08/2008,13765325
30/09/2008,14682700
31/10/2008,12294869
28/11/2008,13823694
31/12/2008,15205839
30/01/2009,16076078
27/02/2009,16640008
31/03/2009,16310951
30/04/2009,15706835
29/05/2009,17339513
30/06/2009,16608869
31/07/2009,16726877
31/08/2009,17026055
30/09/2009,17764678
30/10/2009,18571280
30/11/2009,21733739
31/12/2009,20090475
29/01/2010,19924209
26/02/2010,21139869
31/03/2010,21294895
30/04/2010,22379217
31/05/2010,22924388
30/06/2010,23735520
30/07/2010,22298675
31/08/2010,24290770
30/09/2010,25453825
29/10/2010,26248158
30/11/2010,26976867
31/12/2010,27403736
31/01/2011,25873183
28/02/2011,29458153
31/03/2011,30067905
29/04/2011,31700398
31/05/2011,31567393
30/06/2011,30990718
29/07/2011,33538958
31/08/2011,37778832
30/09/2011,33743790
31/10/2011,36176637
30/11/2011,36675603
30/12/2011,32202289
31/01/2012,36655392
29/02/2012,36877950
30/03/2012,34663125
30/04/2012,34453331
31/05/2012,32515460
29/06/2012,33416643
31/07/2012,33851140
31/08/2012,34354740
28/09/2012,37091760
31/10/2012,35841150
30/11/2012,35987100
31/12/2012,34542300
31/01/2013,34693390
28/02/2013,33287018
29/03/2013,33471351
30/04/2013,30746170
31/05/2013,29302629
28/06/2013,25276360
31/07/2013,27834538
30/08/2013,29505936
30/09/2013,28005731
31/10/2013,27936400
29/11/2013,26463360
31/12/2013,25408928
31/01/2014,26346060
28/02/2014,27989150
31/03/2014,27252696
30/04/2014,27164801
30/05/2014,26457454
30/06/2014,28048950
31/07/2014,27289071
29/08/2014,27251471
30/09/2014,25823254
31/10/2014,24775240
28/11/2014,25307893
31/12/2014,25793325
30/01/2015,26861599
27/02/2015,25915865
31/03/2015,25585785
30/04/2015,25481598
29/05/2015,25990389
30/06/2015,25572884
31/07/2015,23964889
31/08/2015,25516503
30/09/2015,25039935
30/10/2015,25514955
30/11/2015,23892748
31/12/2015,23834100
29/01/2016,24715310
29/02/2016,27538268
31/03/2016,27576441
29/04/2016,28657136
31/05/2016,27138916
30/06/2016,29458008
29/07/2016,29925258
31/08/2016,29202821
30/09/2016,29497701
31/10/2016,28394856
30/11/2016,26695743
30/12/2016,26093287
31/01/2017,27400180
28/02/2017,28582475
31/03/2017,28326558
28/04/2017,28803505
31/05/2017,28761732
30/06/2017,28237585
31/07/2017,28806971
31/08/2017,29818045
29/09/2017,29160369
31/10/2017,28848280
30/11/2017,29085503
29/12/2017,29317319
31/01/2018,30545072
28/02/2018,29990309
30/03/2018,30196353
30/04/2018,29893027
31/05/2018,29769809
29/06/2018,28708455
31/07/2018,28427378
31/08/2018,28021894
28/09/2018,27695574
31/10/2018,28363614
30/11/2018,28390218
31/12/2018,29666405
31/01/2019,30698077
28/02/2019,30604278
29/03/2019,30058459
30/04/2019,29861557
31/05/2019,30336594
28/06/2019,32836745
31/07/2019,33165551
30/08/2019,35437480
30/09/2019,34460441
31/10/2019,35058572
29/11/2019,33846275
31/12/2019,35100544
31/01/2020,36789876
28/02/2020,37414526
31/03/2020,37998571
30/04/2020,39893730
29/05/2020,40246728
30/06/2020,41030531
31/07/2020,45539503
31/08/2020,45361589
30/09/2020,43742114
30/10/2020,43625990
30/11/2020,40789815
31/12/2020,43570529
29/01/2021,42958727
26/02/2021,40114309
31/03/2021,39020980
30/04/2021,40753169
31/05/2021,43786247
30/06/2021,40580658
30/07/2021,41910091
31/8/2021,41418407
30/9/2021,39893734
29/10/2021,40901459
30/11/2021,40246149
31/12/2021,41647478
31/01/2022,40722815
28/02/2022,43485972
31/03/2022,44233383
29/04/2022,43569549
31/05/2022,42610825
30/06/2022,42046957
29/07/2022,41222196
31/08/2022,40141843
30/09/2022,39619614
31/10/2022,40583750
30/11/2022,43592056
30/12/2022,43073864
31/01/2023,45202491
28/02/2023,43412748
31/03/2023,46253101
28/04/2023,46691852
31/05/2023,46147995
30/06/2023,45257793
31/07/2023,46553631
31/08/2023,46729789
29/09/2023,44925634
31/10/2023,48756633
30/11/2023,49478062
29/12/2023,50063739
31/01/2024,49860040
29/02/2024,50379718
29/03/2024,55328212
30/04/2024,58053535
